2022-08-12 13:07:28,895 | Administrator |  | 127.0.0.1 |  | USER | LOGIN_ATTEMPT |  | Incorrect password
2022-08-12 13:32:40,556 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | KVh82xLIfH35glfw7dkKNOwPKmYMqIbiM2fNtbCLqqk | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-12 13:33:52,267 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-12 13:33:58,108 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | isMsO1fGsLzWSToc6TbLnnq-5O9wa4rU2pgMf1yLv6c | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-12 13:37:12,264 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-12 13:37:17,789 | Administrator |  | 127.0.0.1 |  | USER | LOGIN_ATTEMPT |  | Incorrect password
2022-08-12 13:37:22,439 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | jLKuuzndneAzg0p5gSZuWgeLmIHRzEPNdAyvh5wGWOY | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-12 13:46:16,184 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN | CREATE |  | JWTATM2
2022-08-12 13:47:49,586 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_CLIENTS | CREATE |  | 
2022-08-12 13:48:56,382 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_CLIENTS | MODIFY |  | 
2022-08-12 13:50:58,553 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-12 13:51:05,254 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | NbDHPAvM_mtZeY5U481XYhzS0bPMUYPAUyg2RHt8Fvk | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-12 13:52:33,685 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN_MAPPING | CREATE |  | 
2022-08-12 13:54:42,085 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-12 13:55:08,425 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | 0uoxB05fLEgeDd8z9vG7yfhjlJ_wyK_9HRH_PA4CScY | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-12 14:26:51,824 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_POLICY | MODIFY |  | 
2022-08-12 14:30:33,681 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_CLIENTS | MODIFY |  | 
2022-08-12 15:39:21,645 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin |  | 0uoxB05fLEgeDd8z9vG7yfhjlJ_wyK_9HRH_PA4CScY | USER | SESSION_TIMEOUT |  | Session timed out at 2022-08-12 15:01:54,558
